company,website,founded_year,city,state,stage,ai_type,sector,sub_sector,total_funding_usd,latest_round,latest_round_amt_usd,latest_round_year,founders,lead_investors,employees_range,is_unicorn,valuation_usd,govt_backed,iit_founded,yc_backed,description
Uniphore,uniphore.com,2008,Chennai,Tamil Nadu,Late Stage,AI Application,Enterprise AI,Voice AI / Conversational AI,987000000,Series F,50000000,2023,"Umesh Sachdev, Ravi Saraogi",SoftBank Vision Fund / Kedaara Capital,500-1000,TRUE,2800000000,FALSE,TRUE,FALSE,Enterprise conversational AI and automation platform
Eightfold AI,eightfold.ai,2016,Delhi NCR,Delhi,Late Stage,AI Application,HR Tech,Talent Intelligence AI,391000000,Series E,220000000,2021,"Ashutosh Garg, Varun Kacholia",Foundation Capital / Lightspeed / General Catalyst,200-500,TRUE,2100000000,FALSE,TRUE,FALSE,AI-powered talent intelligence platform for hiring and workforce management
Observe AI,observe.ai,2017,Bengaluru,Karnataka,Late Stage,AI Application,Enterprise AI,Contact Center AI,214000000,Series C,125000000,2022,"Swapnil Jain, Akash Singh",Menlo Ventures / SoftBank / Y Combinator,200-500,FALSE,1500000000,FALSE,FALSE,TRUE,AI platform for contact center intelligence and agent coaching
Pixis,pixis.ai,2020,Bengaluru,Karnataka,Late Stage,AI Application,MarTech,Marketing AI,209000000,Series D,100000000,2022,"Shubham A Mishra, Vrushali Prasade",SoftBank / General Atlantic / Chiratae,200-500,TRUE,1000000000,FALSE,FALSE,FALSE,Codeless AI infrastructure for marketing optimization
Darwinbox,darwinbox.com,2015,Hyderabad,Telangana,Late Stage,AI Application,HR Tech,HRMS / HCM,110000000,Series D,72000000,2022,"Chaitanya Peddi, Rohit Chennamaneni, Jayant Paleti",TCV / Salesforce Ventures / Sequoia,500-1000,TRUE,1000000000,FALSE,FALSE,FALSE,AI-powered human resource management system for enterprises
Ola Krutrim,olakrutrim.com,2023,Bengaluru,Karnataka,Growth Stage,AI Infrastructure,Foundation Models,LLM / Indic AI,74000000,Series A,50000000,2024,Bhavish Aggarwal,Z47,100-200,TRUE,1000000000,TRUE,TRUE,FALSE,India's first AI unicorn - builds LLMs trained on Indic languages
Fractal Analytics,fractal.ai,2000,Mumbai,Maharashtra,Late Stage,AI Application,Enterprise AI,Decision Science / Analytics,170000000,Series D,360000000,2021,"Srikanth Velamakanni, Pranay Agrawal",Apax Partners / Khazanah Nasional,500-1000,TRUE,1000000000,FALSE,FALSE,FALSE,AI and analytics company building decision engines for Fortune 500 firms
DevRev,devrev.ai,2020,Chennai,Tamil Nadu,Late Stage,AI Application,Developer Tools,Dev AI / CRM,150800000,Series A,50800000,2022,"Dhruv Bhatia, Manoj Patil",Khosla Ventures / Mayfield / Ballistic Ventures,200-500,FALSE,1100000000,FALSE,FALSE,FALSE,AI-native developer CRM connecting product and customer support teams
Qure AI,qure.ai,2016,Mumbai,Maharashtra,Late Stage,AI Application,HealthTech,Medical Imaging AI,133000000,Series D,65000000,2024,"Prashant Warier, Pooja Rao",Lightspeed / 360 ONE / Novo Holdings,200-500,FALSE,700000000,FALSE,TRUE,FALSE,AI radiology platform for TB, stroke and cancer screening
Yellow.ai,yellow.ai,2016,Bengaluru,Karnataka,Late Stage,AI Application,Enterprise AI,Conversational AI / CX,102000000,Series C,78500000,2021,"Raghu Ravinutala, Jaya Kishore Reddy",WestBridge Capital / Salesforce Ventures / Lightspeed,200-500,FALSE,1000000000,FALSE,FALSE,FALSE,Enterprise-grade conversational AI platform for customer experience automation
